ID	Race	Grades	Sex	Name	Desc	Hide	BeginYear	Perception	Physique	Charisma	Intelligence	Luck	Fight	Qi	SocialContact	Medicine	Cooking	Building	Farming	Mining	Art	Manual	DouFa	DanQi	Fabao	FightSkill	Barrier	F1	F2	F3	F4	F5	F6
ID	种族	阶段 0童年 1成年 2重大事件 	性别 0均可 1男 2女	名字	描述	在自定义中隐藏	触发开始年份	感知	体质	魅力	悟性	运气	战斗	气感	社交 （所有技能等级后面可以附加,X。X为热爱程度 1为热爱 2为痴迷）	医术	厨艺	建筑	农事	采掘	艺术	制造	斗法	丹器	御物	术法	护体	特性1	特性2	特性3	特性4	特性5	特性6
680602101	Human	1	0	邪神传承	[NAME]以一滴邪神留下的不灭之血重铸玄脉，从而得到世间唯一的邪神玄脉。	1	0	1	1	1	1	2	3,1	3,1	2,1	1,1						2,1	2,1	2,1	3,1	1,1	2,1	EvilFeatureXieShenXuanMai
680602102	Human	1	0	天杀传承	[NAME]继承了众神之界星神界十二星神之天杀星神的力量。	1	0	2	1	1	1	1	3,1	2,1			2,1		1,1	2,1	1,1		2,1		3,1	1,1	2,1
680602103	Human	1	0	天狼传承	[NAME]继承了众神之界星神界十二星神之天狼星神的力量。	1	0	1	2	1	1	1	3,1	2,1	1,1			2,1				1,1	3,1	2,1	3,1	1,1	2,1
680602104	Human	1	0	凤凰传承	[NAME]获得了上古凤凰赐予凤凰血脉。	1	0	2	1	1	1	1	2,1	3,1	1,1				2,1	2,1		3,1	2,1		1,1	3,1	2,1	EvilFeatureFengHuangXueMai
680602105	Human	1	0	冰凰传承	[NAME]获得了上古凤凰赐予冰凰血脉。	1	0	2	1	1	1	1	2,1	3,1		2,1	2,1	2,1			2,1		2,1		1,1	3,1	2,1	EvilFeatureBingHuangXueMai
680602106	Human	1	0	金乌传承	[NAME]获得了上古金乌赐予金乌血脉。	1	0	2	1	1	1	1	2,1	3,1	1,1				2,1	2,1		3,1	2,1		1,1	3,1	2,1	EvilFeatureJinWuXueMai
680602107	Human	1	0	永夜传承	[NAME]传承了永夜魔族的力量。	1	0	2	2	0	1	0	3,1	1,1					2,1	2,1		2,1	3,1	1,1	3,1	1,1	2,1
680602108	Human	1	0	天剑传承	[NAME]传承了天剑山庄的力量。	1	0	1	1	1	1	1	2,1	2,1	1,1			3,1	1,1	3,1			2,1		2,1	1,1	2,1
680602109	Human	1	0	月神传承	[NAME]获得了众神之界月神界的力量传承。	1	0	2	0	1	2	1	2,1	3,1	2,1	2,1	2,1				3,1		2,1		2,1	3,1	2,1
680602110	Human	1	0	琉光传承	[NAME]获得了众神之界琉光界的力量传承。	1	0	2	0	2	1	1	2,1	2,1	2,1			2,1	3,1				2,1	3,1	3,1	2,1	2,1
680602111	Human	1	0	梵神传承	[NAME]获得了众神之界梵神界的力量传承。	1	0	1	1	2	1	1	3,1	3,1		2,1	2,1				2,1		3,1	2,1	2,1	3,1	2,1
680602112	Human	1	0	劫魂传承	[NAME]获得了众神之界劫魂界的力量传承。	1	0	1	2	1	1	0	3,1	3,1	1,1	2,1	2,1	1,1					2,1		1,1	3,1	2,1
680602113	Human	1	0	霸皇觉醒	[NAME]觉醒了体内的霸皇神脉。	1	0	1	2	0	1	1	3,1	1,1				2,1	2,1	2,1		2,1	1,1		3,1	1,1	2,1	EvilFeatureBaHuangShenMai
680602114	Human	1	0	玄罡觉醒	[NAME]觉醒了体内的玄罡之力。	1	0	1	1	0	2	1	2,1	2,1	3,1			1,1			2,1		2,1	1,1	2,1	2,1	2,1
680602115	Human	1	0	天道医经	[NAME]修习了天道医经。	1	0	2	0	1	1	1	1,1	1,1	3,1	3,1	2,1		2,1				1,1		1,1	2,1	1,1
680602116	Human	1	0	生命神迹	[NAME]修习了生命神迹。	1	0	2	0	1	1	1	1,1	3,1	1,1	3,1	2,1		3,1				3,1		1,1	3,1	1,1
680602117	Human	1	0	帝王心诀	[NAME]修习了帝王心诀，可在一定程度上窥视命数和气运。	1	0	2	0	1	1	1	1,1	2,1	3,1						2,1	2,1	2,1	2,1	1,1	1,1	2,1
680602118	Human	1	0	身中蛊毒	[NAME]身中蛊毒。	1	0	0	0	1	2	2	1,1	1,1	2,1	3,1			2,1			1,1	1,1		1,1	2,1	1,1
680602119	Human	1	0	身中寒毒	[NAME]身中寒毒。	1	0	0	0	2	1	2	2,1	2,1	2,1	3,1	2,1				1,1		2,1		1,1	2,1	1,1
680602120	Human	1	0	玄府修习	[NAME]获得了在苍风玄府修习的机会。	1	0	1	1	1	1	1	2,1	1,1	1,1			2,1	1,1	2,1			2,1		2,1	1,1	2,1
680602121	Human	1	0	鬼影圣手	[NAME]拥有神出鬼没的能力。	1	0	2	0	0	1	2	1,1	3,1	3,1						2,1	2,1	2,1	1,1	2,1	2,1	2,1
680602122	Human	1	0	皇室守护	[NAME]世代守护皇室。	1	0	2	2	0	0	1	2,1	2,1		2,1			2,1			3,1	2,1	2,1	3,1	1,1	2,1
680602123	Human	1	0	后山禁闭	[NAME]被关在后山禁闭十五年。	1	0	2	0	1	1	1	2,1	3,1		2,1	3,1		2,1	1,1			1,1		2,1	1,1	2,1
680602124	Human	1	0	身在异乡	[NAME]自幼便身在异乡。	1	0	2	1	1	1	0	2,1	2,1	2,1			2,1				2,1	2,1	2,1	3,1	1,1	2,1
